Order Number,Item,Pinyin,Frequency
5,不 是,bu4   shi4,961
7,是 一,shi4   yi1,685
21,这 是,zhe4   shi4,471
24,是 不,shi4   bu4,460
39,就 是,jiu4   shi4,396
59,是 不 是,shi4   bu4   shi4,317
67,是 什么,shi4   shen2 me,282
69,的 是,de   shi4,277
70,是 一 个,shi4   yi1   ge4,277
82,都 是,dou1   shi4,247
86,是 啊,shi4   a,241
89,是 他,shi4   ta1,227
90,那 是,na4   shi4,225
94,他 是,ta1   shi4,220
100,是 我,shi4   wo3,216
109,是 个,shi4   ge4,203
110,是 在,shi4   zai4,200
114,我 是,wo3   shi4,195
124,是 吗,shi4   ma,186
128,你 是,ni3   shi4,184
144,是 这样,shi4   zhe4 yang4,171
166,是 怎么,shi4   zen3 me,160
175,是 谁,shi4   shui2,155
202,可 是,ke3   shi4,142
210,是 的,shi4   de,137
214,是 你,shi4   ni3,136
231,也 是,ye3   shi4,131
280,是 因为,shi4   yin1 wei4,114
282,是 哈利,shi4   ha1 li4,114
297,只 是,zhi3   shi4,110
298,真 是,zhen1   shi4,110
334,又 是,you4   shi4,101
387,是 说,shi4   shuo1,91
454,而 是,er2   shi4,82
466,还 是,hai2   shi4,82
474,正 是,zheng4   shi4,81
538,是 一 种,shi4   yi1   zhong3,74
562,这 是 一,zhe4   shi4   yi1,72
570,是 很,shi4   hen3,71
593,是 从,shi4   cong2,69
662,像 是,xiang4   shi4,64
693,肯定 是,ken3 ding4   shi4,62
702,可能 是,ke3 neng2   shi4,61
727,是 我们,shi4   wo3 men,60
734,他们 是,ta1 men   shi4,60
735,意思 是,yi4 si   shi4,60
803,大概 是,da4 gai4   shi4,57
815,是 为了,shi4   wei4 le,56
823,是 怎么 回,shi4   zen3 me   hui2,56
824,一定 是,yi2 ding4   shi4,56
839,是 怎么 回 事,shi4   zen3 me   hui2   shi4,55
887,是 想,shi4   xiang3,53
900,的 意思 是,de   yi4 si   shi4,52
918,是 我 的,shi4   wo3   de,52
926,她 是,ta1   shi4,52
955,是 最,shi4   zui4,51
964,是 他们,shi4   ta1 men,50
985,是 吧,shi4   ba,50
1012,是 什么 意思,shi4   shen2 me   yi4 si,49
1038,是 这,shi4   zhe4,48
1041,它 是,ta1   shi4,48
1055,是 他 的,shi4   ta1   de,47
1067,会 是,hui4   shi4,47
1073,我 是 说,wo3   shi4   shuo1,47
1086,我 的 意思 是,wo3   de   yi4 si   shi4,46
1260,可是 他,ke3 shi4   ta1,41
1270,好像 是,hao3 xiang4   shi4,41
1275,不 是 一,bu4   shi4   yi1,41
1306,这 是 什么,zhe4   shi4   shen2 me,40
1310,是 有,shi4   you3,40
1326,真是 太,zhen1 shi4   tai4,40
1343,我 不 是,wo3   bu4   shi4,39
1360,是 被,shi4   bei4,39
1362,我 只是,wo3   zhi3 shi4,39
1377,不 是 吗,bu4   shi4   ma,38
1427,这 是 一 个,zhe4   shi4   yi1   ge4,38
1445,知道 是,zhi1 dao4   shi4,37
1457,这 就 是,zhe4   jiu4   shi4,37
1543,那 是 一,na4   shi4   yi1,36
1572,是 那,shi4   na4,35
1578,是 对,shi4   dui4,35
1590,似乎 是,si4 hu1   shi4,35
1607,也许 是,ye3 xu3   shi4,34
1621,是 你 的,shi4   ni3   de,34
1643,是 一 条,shi4   yi1   tiao2,34
1648,不 是 我,bu4   shi4   wo3,34
1677,这 是 他,zhe4   shi4   ta1,33
1696,到底 是,dao4 di3   shi4,33
1702,这 不 是,zhe4   bu4   shi4,33
1705,但是 他,dan4 shi4   ta1,33
1708,说 是,shuo1   shi4,33
1712,自己 是,zi4 ji3   shi4,32
1737,那 就 是,na4   jiu4   shi4,32
1754,那 是 什么,na4   shi4   shen2 me,32
1767,是 罗恩,shi4   luo2 en1,32
1830,是 海格,shi4   hai3 ge2,31
1854,的 是 一,de   shi4   yi1,30
1881,是 斯内普,shi4   si1 nei4 pu3,30
1918,显然 是,xian3 ran2   shi4,30
1957,又 是 一,you4   shi4   yi1,29
2006,是 这样 的,shi4   zhe4 yang4   de,29
2017,到处 都 是,dao4 chu4   dou1   shi4,28
2020,是 不 会,shi4   bu4   hui4,28
2038,我们 是,wo3 men   shi4,28
2070,不 是 一 个,bu4   shi4   yi1   ge4,28
2073,是 你们,shi4   ni3 men,28
2074,只 是 一,zhi3   shi4   yi1,28
2101,他 是 个,ta1   shi4   ge4,28
2133,是 非常,shi4   fei1 chang2,27
2162,是 太,shi4   tai4,27
2165,是 这么,shi4   zhe4 me,27
2166,他 不 是,ta1   bu4   shi4,27
2204,是 霍格沃茨,shi4   huo4 ge2 wo4 ci2,27
2244,可是 我,ke3 shi4   wo3,26
2288,是 多么,shi4   duo1 me,26
2303,是 要,shi4   yao4,26
2304,是 邓布利多,shi4   deng4 bu4 li4 duo1,26
2321,像 是 一,xiang4   shi4   yi1,25
2329,但是 我,dan4 shi4   wo3,25
2383,可 不 是,ke3   bu4   shi4,25
2417,是 一 件,shi4   yi1   jian4,25
2424,是 因为 他,shi4   yin1 wei4   ta1,25
2443,现在 是,xian4 zai4   shi4,24
2499,他 总是,ta1   zong3 shi4,24
2510,是 她,shi4   ta1,24
2523,他 还是,ta1   hai2 shi4,24
2527,的 就 是,de   jiu4   shi4,24
2530,是 赫敏,shi4   he4 min3,24
2539,以为 是,yi3 wei2   shi4,24
2571,是 一 只,shi4   yi1   zhi3,23
2586,真 是 一,zhen1   shi4   yi1,23
2602,你 是 不,ni3   shi4   bu4,23
2618,说 的 是,shuo1   de   shi4,23
2631,是 小,shi4   xiao3,23
2644,是 不 可能,shi4   bu4   ke3 neng2,23
2680,原来 是,yuan2 lai2   shi4,23
2698,你 不 是,ni3   bu4   shi4,23
2712,就 是 这样,jiu4   shi4   zhe4 yang4,23
2776,的 是 什么,de   shi4   shen2 me,22
2790,认为 是,ren4 wei2   shi4,22
2800,的 不 是,de   bu4   shi4,22
2935,倒 是,dao4   shi4,21
2944,你 是 怎么,ni3   shi4   zen3 me,21
2946,你 这 是,ni3   zhe4   shi4,21
2949,它们 是,ta1 men   shi4,21
2970,是 那么,shi4   na4 me,21
2982,他 只是,ta1   zhi3 shi4,21
3031,是 真,shi4   zhen1,21
3036,是 用,shi4   yong4,21
3044,满 是,man3   shi4,21
3081,是 韦斯莱,shi4   wei2 si1 lai2,21
3097,是 魔法,shi4   mo2 fa3,20
3117,次 是,ci4   shi4,20
3131,是 什么 东西,shi4   shen2 me   dong1 xi1,20
3140,并 不 是,bing4   bu4   shi4,20
3171,然后 是,ran2 hou4   shi4,20
3203,这 是 我,zhe4   shi4   wo3,20
3206,当然 是,dang1 ran2   shi4,20
3231,但是 哈利,dan4 shi4   ha1 li4,20
3241,是 伏地魔,shi4   fu2 di4 mo2,20
3256,是 没有,shi4   mei2 you3,20
3295,也 不 是,ye3   bu4   shi4,19
3313,你 是 不 是,ni3   shi4   bu4   shi4,19
3390,而 不 是,er2   bu4   shi4,19
3404,是 麻瓜,shi4   ma2 gua1,19
3409,于是 他,yu2 shi4   ta1,19
3412,海格 是,hai3 ge2   shi4,19
3420,教授 是,jiao4 shou4   shi4,19
3441,并不 是,bing4 bu4   shi4,19
3469,可 是 哈利,ke3   shi4   ha1 li4,19
3482,是 那个,shi4   na4 ge,19
3533,里面 是,li3 mian4   shi4,18
3696,究竟 是,jiu1 jing4   shi4,18
3703,就 是 他,jiu4   shi4   ta1,18
3722,这 是 什么 意思,zhe4   shi4   shen2 me   yi4 si,18
3726,是 巫师,shi4   wu1 shi1,18
3729,是 把,shi4   ba3,18
3742,这 是 不,zhe4   shi4   bu4,18
3749,他 还 是,ta1   hai2   shi4,18
3783,知道 他 是,zhi1 dao4   ta1   shi4,17
3786,是 一 阵,shi4   yi1   zhen4,17
3807,不 是 你,bu4   shi4   ni3,17
3831,你 是 个,ni3   shi4   ge4,17
3868,你 是 说,ni3   shi4   shuo1,17
3908,才 是,cai2   shi4,17
3942,是 什么 呢,shi4   shen2 me   ne,17
3955,可是 哈利,ke3 shi4   ha1 li4,17
3981,还是 不,hai2 shi4   bu4,17
4008,是 从 哪儿,shi4   cong2   na3 er2,17
