Order Number,Item,Pinyin,Frequency
93,一 次,yi1   ci4,221
357,这 次,zhe4   ci4,97
433,第一 次,di4 yi1   ci4,85
728,每 次,mei3   ci4,60
779,上 次,shang4   ci4,58
1168,又 一 次,you4   yi1   ci4,44
1409,两 次,liang3   ci4,38
2322,有 一 次,you3   yi1   ci4,25
2910,下 次,xia4   ci4,21
3117,次 是,ci4   shi4,20
3296,第二 次,di4 er4   ci4,19
3692,那 次,na4   ci4,18
3753,次 他,ci4   ta1,18
4015,几 次,ji3   ci4,17
5295,次 在,ci4   zai4,13
5311,再 一 次,zai4   yi1   ci4,13
5757,这 次 是,zhe4   ci4   shi4,13
5902,次 机会,ci4   ji1 hui4,12
6232,次 被,ci4   bei4,12
6570,次 看见,ci4   kan4 jian4,11
6963,次 了,ci4   le,11
7327,第三 次,di4 san1   ci4,10
7813,最后 一 次,zui4 hou4   yi1   ci4,10
7867,次 我,ci4   wo3,10
7868,次 把,ci4   ba3,10
7869,次 的,ci4   de,10
9406,多 次,duo1   ci4,8
9563,试 一 次,shi4   yi1   ci4,8
9676,这 一 次,zhe4   yi1   ci4,8
9755,再 试 一 次,zai4   shi4   yi1   ci4,8
10017,他 上 次,ta1   shang4   ci4,8
10452,次 比赛,ci4   bi3 sai4,8
10455,次 见到,ci4   jian4 dao4,8
10481,他 第一 次,ta1   di4 yi1   ci4,8
10531,哈利 第一 次,ha1 li4   di4 yi1   ci4,8
10930,五 次,wu3   ci4,8
11434,这 次 他,zhe4   ci4   ta1,7
11502,平生 第一 次,ping2 sheng1   di4 yi1   ci4,7
12147,一 次 在,yi1   ci4   zai4,7
12220,是 一 次,shi4   yi1   ci4,7
12487,次 不,ci4   bu4,7
12489,次 听见,ci4   ting1 jian4,7
13059,了 两 次,le   liang3   ci4,7
13649,许多 次,xu3 duo1   ci4,6
14519,三 次,san1   ci4,6
15385,次 也,ci4   ye3,6
15387,次 你,ci4   ni3,6
15389,次 她,ci4   ta1,6
15391,次 有,ci4   you3,6
15394,次 都,ci4   dou1,6
16101,了 一 次,le   yi1   ci4,6
16580,多少 次,duo1 shao3   ci4,5
16677,第一 次 看见,di4 yi1   ci4   kan4 jian4,5
16680,第一 次 见到,di4 yi1   ci4   jian4 dao4,5
17055,好多 次,hao3 duo1   ci4,5
17563,过 一 次,guo4   yi1   ci4,5
18762,我 第一 次,wo3   di4 yi1   ci4,5
18788,又 一 次 被,you4   yi1   ci4   bei4,5
19015,他 又 一 次,ta1   you4   yi1   ci4,5
19200,一 两 次,yi1   liang3   ci4,5
19321,一 次 被,yi1   ci4   bei4,5
19322,一 次 机会,yi1   ci4   ji1 hui4,5
19323,一 次 是,yi1   ci4   shi4,5
19658,他 每 次,ta1   mei3   ci4,5
19692,有 两 次,you3   liang3   ci4,5
19791,那 一 次,na4   yi1   ci4,5
19912,次 一,ci4   yi1,5
19913,次 又,ci4   you4,5
19914,次 哈利,ci4   ha1 li4,5
19915,次 他们,ci4   ta1 men,5
19917,次 打开,ci4   da3 kai1,5
19918,次 我们,ci4   wo3 men,5
19919,次 骑,ci4   qi2,5
19920,次 被 打开,ci4   bei4   da3 kai1,5
20964,目次 第1 章,mu4 ci4   di4 1  zhang1,5
20965,目次 第1,mu4 ci4   di4 1,5
