Order Number,Item,Pinyin,Frequency
1287,鬼 飞球,gui3   fei1 qiu2,41
3283,皮皮 鬼,pi2 pi2   gui3,19
8511,鬼鬼祟祟 地,gui3 gui3 sui4 sui4   di4,9
10284,是 皮皮鬼,shi4   pi2 pi2 gui3,8
11126,女 鬼,nv3   gui3,7
11361,了 鬼,le   gui3,7
12040,了 鬼 飞球,le   gui3   fei1 qiu2,7
13031,皮皮鬼 在,pi2 pi2 gui3   zai4,7
14327,鬼 不,gui3   bu4,6
14428,恶作剧 的 皮皮鬼,e4 zuo4 ju4   de   pi2 pi2 gui3,6
14813,把 鬼,ba3   gui3,6
14815,把 鬼 飞球,ba3   gui3   fei1 qiu2,6
16011,的 皮皮鬼,de   pi2 pi2 gui3,6
16107,鬼 的,gui3   de,6
16427,着 鬼,zhe   gui3,5
16745,着 鬼 飞球,zhe   gui3   fei1 qiu2,5
17469,做 了 个 鬼脸,zuo4   le   ge4   gui3 lian3,5
18413,与 吸血鬼 同,yu3   xi1 xue4 gui3   tong2,5
18422,与 吸血鬼 同 船 旅行,yu3   xi1 xue4 gui3   tong2   chuan2   lv3 xing2,5
18423,与 吸血鬼 同 船,yu3   xi1 xue4 gui3   tong2   chuan2,5
18424,与 吸血鬼,yu3   xi1 xue4 gui3,5
19191,搞 恶作剧 的 皮皮鬼,gao3   e4 zuo4 ju4   de   pi2 pi2 gui3,5
19486,吸血鬼 同,xi1 xue4 gui3   tong2,5
19487,吸血鬼 同 船 旅行,xi1 xue4 gui3   tong2   chuan2   lv3 xing2,5
19491,吸血鬼 的,xi1 xue4 gui3   de,5
19492,吸血鬼 同 船,xi1 xue4 gui3   tong2   chuan2,5
19751,个 鬼脸,ge4   gui3 lian3,5
20920,的 食尸鬼,de   shi2 shi1 gui3,5
20945,皮皮鬼 的,pi2 pi2 gui3   de,5
21025,了 个 鬼脸,le   ge4   gui3 lian3,5
