Order Number,Item,Pinyin,Frequency
365,离开 了,li2 kai1   le,95
2387,在 离,zai4   li2,25
2671,离 他,li2   ta1,23
3506,要 离开,yao4   li2 kai1,18
3582,他 离开,ta1   li2 kai1,18
3663,他们 离开,ta1 men   li2 kai1,18
5250,离开 这里,li2 kai1   zhe4 li3,13
5824,离去 了,li2 qu4   le,12
5862,离 他们,li2   ta1 men,12
6149,就 离开,jiu4   li2 kai1,12
6510,离 地面,li2   di4 mian4,11
7767,就 离开 了,jiu4   li2 kai1   le,10
7907,哈利 离开,ha1 li4   li2 kai1,10
8180,离开 城堡,li2 kai1   cheng2 bao3,9
8181,离开 礼堂,li2 kai1   li3 tang2,9
9403,离 他 最近,li2   ta1   zui4 jin4,8
9642,转身 离开,zhuan3 shen1   li2 kai1,8
10820,在 离 地面,zai4   li2   di4 mian4,8
11021,离 他 最近 的,li2   ta1   zui4 jin4   de,7
11170,离开 了 房间,li2 kai1   le   fang2 jian1,7
11569,准备 离开,zhun3 bei4   li2 kai1,7
11953,赶紧 离开,gan3 jin3   li2 kai1,7
12584,没有 离开,mei2 you3   li2 kai1,7
13086,地 离开,di4   li2 kai1,7
13261,离开 我,li2 kai1   wo3,6
13262,离开 德思礼家,li2 kai1   de2 si1 li3 jia1,6
13263,离开 的,li2 kai1   de,6
14175,一起 离开,yi4 qi3   li2 kai1,6
14480,匆匆 离开,cong1 cong1   li2 kai1,6
14630,赫敏 离开,he4 min3   li2 kai1,6
15414,他 离开 了,ta1   li2 kai1   le,6
16000,在 离 他,zai4   li2   ta1,6
16534,离开 厨房,li2 kai1   chu2 fang2,5
16535,离开 你,li2 kai1   ni3,5
16536,离 地面 几,li2   di4 mian4   ji3,5
16539,离开 这,li2 kai1   zhe4,5
16540,离开 时,li2 kai1   shi2,5
16544,离开 那,li2 kai1   na4,5
16960,她 离开,ta1   li2 kai1,5
16978,离开 后,li2 kai1   hou4,5
17409,赫敏 离开 了,he4 min3   li2 kai1   le,5
17547,转身 离开 了,zhuan3 shen1   li2 kai1   le,5
17729,尽快 离开,jin3 kuai4   li2 kai1,5
18166,人 离开,ren2   li2 kai1,5
18336,得 离,de2   li2,5
18601,匆匆 离开 了,cong1 cong1   li2 kai1   le,5
20549,他们 离开 了,ta1 men   li2 kai1   le,5
20870,的 距离,de   ju4 li2,5
