Order Number,Item,Pinyin,Frequency
283,最后 一,zui4 hou4   yi1,114
673,然后 他,ran2 hou4   ta1,63
766,分钟 后,fen1 zhong1   hou4,58
922,后面 的,hou4 mian4   de,52
1174,的 最后,de   zui4 hou4,44
1317,身 后,shen1   hou4,40
1327,身后 的,shen1 hou4   de,40
1399,然后 又,ran2 hou4   you4,38
1452,的 最后 一,de   zui4 hou4   yi1,37
1776,最后 一 个,zui4 hou4   yi1   ge4,31
1887,在 后面,zai4   hou4 mian4,30
1938,跟在 后面,gen1 zai4   hou4 mian4,29
1967,然后 把,ran2 hou4   ba3,29
2099,后 的,hou4   de,28
2150,钟 后,zhong1   hou4,27
2178,秒 钟 后,miao3   zhong1   hou4,27
2425,几 秒 钟 后,ji3   miao3   zhong1   hou4,25
2658,片刻 之后,pian4 ke4   zhi1 hou4,23
3016,哈利 身后,ha1 li4   shen1 hou4,21
3049,的 后背,de   hou4 bei4,21
3171,然后 是,ran2 hou4   shi4,20
3230,他 身 后,ta1   shen1   hou4,20
3235,然后 她,ran2 hou4   ta1,20
3259,然后 就,ran2 hou4   jiu4,20
3878,身后 传来,shen1 hou4   chuan2 lai2,17
3915,小时 后,xiao3 shi2   hou4,17
3939,往后 退,wang3 hou4   tui4,17
3964,他 身后,ta1   shen1 hou4,17
4021,他们 身后,ta1 men   shen1 hou4,17
4053,十 分钟 后,shi2   fen1 zhong1   hou4,16
4396,最后 他,zui4 hou4   ta1,15
4411,结束 后,jie2 shu4   hou4,15
4647,在 他 身 后,zai4   ta1   shen1   hou4,15
5055,最后 的,zui4 hou4   de,14
5066,那 以后,na4   yi3 hou4,14
5371,之后 就,zhi1 hou4   jiu4,13
5405,然后 我,ran2 hou4   wo3,13
5588,最后 几,zui4 hou4   ji3,13
5605,了 最后,le   zui4 hou4,13
5729,在 哈利 身后,zai4   ha1 li4   shen1 hou4,13
5741,在 最后,zai4   zui4 hou4,13
5932,五 分钟 后,wu3   fen1 zhong1   hou4,12
6153,听见 身后,ting1 jian4   shen1 hou4,12
6211,从 那 以后,cong2   na4   yi3 hou4,12
6277,后 一,hou4   yi1,12
6334,的 后脑勺,de   hou4 nao3 shao2,12
6336,的 后面,de   hou4 mian4,12
6437,后 退,hou4   tui4,12
6508,脑 后,nao3   hou4,11
6554,桌子 后面,zhuo1 zi   hou4 mian4,11
6602,脖子 后面,bo2 zi   hou4 mian4,11
6633,几 分钟 后,ji3   fen1 zhong1   hou4,11
6806,他 后面,ta1   hou4 mian4,11
7020,然后 一,ran2 hou4   yi1,11
7126,在 背后,zai4   bei4 hou4,11
7296,一 小时 后,yi1   xiao3 shi2   hou4,10
7535,然后 你,ran2 hou4   ni3,10
7554,然后 用,ran2 hou4   yong4,10
7754,星期 后,xing1 qi1   hou4,10
7801,他 最后,ta1   zui4 hou4,10
7813,最后 一 次,zui4 hou4   yi1   ci4,10
7944,然后 他们,ran2 hou4   ta1 men,10
8068,以后 再,yi3 hou4   zai4,10
8259,秒钟 后,miao3 zhong1   hou4,9
8756,身后 传来 一,shen1 hou4   chuan2 lai2   yi1,9
8850,后面 传来,hou4 mian4   chuan2 lai2,9
8852,后面 跟,hou4 mian4   gen1,9
9073,他 身后 的,ta1   shen1 hou4   de,9
9079,一 秒钟 后,yi1   miao3 zhong1   hou4,9
9106,然后 我们,ran2 hou4   wo3 men,9
9107,然后 说,ran2 hou4   shuo1,9
9198,一 分钟 后,yi1   fen1 zhong1   hou4,9
9391,地 跟在 后面,di4   gen1 zai4   hou4 mian4,8
9746,她 身后,ta1   shen1 hou4,8
10231,后来 他,hou4 lai2   ta1,8
10235,后面 有,hou4 mian4   you3,8
10237,后面 跟 着,hou4 mian4   gen1   zhe,8
10435,桌子 后面 的,zhuo1 zi   hou4 mian4   de,8
10594,然后 再,ran2 hou4   zai4,8
10779,在 最后 一,zai4   zui4 hou4   yi1,8
10783,的 最后 一 个,de   zui4 hou4   yi1   ge4,8
10844,在 身后,zai4   shen1 hou4,8
11328,走 后,zou3   hou4,7
11442,她 后面,ta1   hou4 mian4,7
11574,镜片 后面,jing4 pian4   hou4 mian4,7
11771,从 后面,cong2   hou4 mian4,7
12209,后 退 着,hou4   tui4   zhe,7
12211,后来 我,hou4 lai2   wo3,7
12215,后面 的 一,hou4 mian4   de   yi1,7
12650,然后 便,ran2 hou4   bian4,7
12652,然后 才,ran2 hou4   cai2,7
12654,然后 说道,ran2 hou4   shuo1 dao4,7
12744,他们 后面,ta1 men   hou4 mian4,7
12982,的 身后,de   shen1 hou4,7
13075,了 之后,le   zhi1 hou4,7
13159,坐下 后,zuo4 xia4   hou4,6
13365,你 后面,ni3   hou4 mian4,6
13461,肖像 后,xiao4 xiang4   hou4,6
13462,肖像 后 的,xiao4 xiang4   hou4   de,6
13596,学期 的 最后,xue2 qi1   de   zui4 hou4,6
13597,学期 的 最后 一,xue2 qi1   de   zui4 hou4   yi1,6
13779,小时 之后,xiao3 shi2   zhi1 hou4,6
13812,过 后,guo4   hou4,6
13943,肖像 后 的 洞口,xiao4 xiang4   hou4   de   dong4 kou3,6
14446,前后 摇晃,qian2 hou4   yao2 huang4,6
14786,把 最后,ba3   zui4 hou4,6
15028,后 就,hou4   jiu4,6
15029,后 发生,hou4   fa1 sheng1,6
15030,后 的 洞口,hou4   de   dong4 kou3,6
15036,后边 的,hou4 bian1   de,6
15121,是 最后,shi4   zui4 hou4,6
15208,最后 一 天,zui4 hou4   yi1   tian1,6
