Order Number,Item,Pinyin,Frequency
3,地 说,di4   shuo1,1663
6,哈利 说,ha1 li4   shuo1,698
23,罗恩 说,luo2 en1   shuo1,461
38,他 说,ta1   shuo1,399
50,说 着,shuo1   zhe,351
79,赫敏 说,he4 min3   shuo1,252
150,说 的,shuo1   de,168
174,你 说,ni3   shuo1,155
177,她 说,ta1   shuo1,154
182,我 说,wo3   shuo1,151
186,邓布利多 说,deng4 bu4 li4 duo1   shuo1,150
211,说 了,shuo1   le,137
215,声音 说,sheng1 yin1   shuo1,136
257,先生 说,xian1 sheng1   shuo1,122
287,说 他,shuo1   ta1,113
292,海格 说,hai3 ge2   shuo1,111
304,着 说,zhe   shuo1,109
324,说 什么,shuo1   shen2 me,104
342,小声 说,xiao3 sheng1   shuo1,100
347,这么 说,zhe4 me   shuo1,99
379,教授 说,jiao4 shou4   shuo1,93
387,是 说,shi4   shuo1,91
445,弗雷德 说,fu2 lei2 de2   shuo1,84
460,的 声音 说,de   sheng1 yin1   shuo1,82
484,说 过,shuo1   guo4,80
490,说 得,shuo1   de2,79
509,韦斯莱 先生 说,wei2 si1 lai2   xian1 sheng1   shuo1,78
539,乔治 说,qiao2 zhi4   shuo1,74
607,说话 了,shuo1 hua4   le,68
655,大声 说,da4 sheng1   shuo1,64
684,在 说,zai4   shuo1,62
690,对 哈利 说,dui4   ha1 li4   shuo1,62
700,天狼星 说,tian1 lang2 xing1   shuo1,61
705,小 天狼星 说,xiao3   tian1 lang2 xing1   shuo1,61
750,罗恩 说 着,luo2 en1   shuo1   zhe,59
797,低声 说,di1 sheng1   shuo1,57
800,轻声 说,qing1 sheng1   shuo1,57
840,怎么 说,zen3 me   shuo1,55
843,夫人 说,fu1 ren2   shuo1,55
929,麦格 教授 说,mai4 ge2   jiao4 shou4   shuo1,51
934,卢 平 说,lu2   ping2   shuo1,51
941,平 说,ping2   shuo1,51
977,说 不,shuo1   bu4,50
995,气 说,qi4   shuo1,49
1007,说 你,shuo1   ni3,49
1016,哈利 说 着,ha1 li4   shuo1   zhe,49
1034,他们 说,ta1 men   shuo1,48
1044,说 一,shuo1   yi1,48
1049,韦斯莱 夫人 说,wei2 si1 lai2   fu1 ren2   shuo1,47
1073,我 是 说,wo3   shi4   shuo1,47
1091,着 气 说,zhe   qi4   shuo1,46
1106,说 了 一,shuo1   le   yi1,45
1118,说 我,shuo1   wo3,45
1162,穆迪 说,mu4 di2   shuo1,44
1164,说话 的,shuo1 hua4   de,44
1196,敢 说,gan3   shuo1,43
1226,再 说,zai4   shuo1,42
1289,又 说,you4   shuo1,41
1301,说 的 话,shuo1   de   hua4,40
1302,马尔福 说,ma3 er3 fu2   shuo1,40
1307,斯内普 说,si1 nei4 pu3   shuo1,40
1421,他 说话,ta1   shuo1 hua4,38
1464,耐烦 地 说,nai4 fan2   di4   shuo1,37
1472,不 耐烦 地 说,bu4   nai4 fan2   di4   shuo1,37
1485,继续 说道,ji4 xu4   shuo1 dao4,37
1523,喘 着 气 说,chuan3   zhe   qi4   shuo1,36
1549,气愤 地 说,qi4 fen4   di4   shuo1,35
1581,说 得 对,shuo1   de2   dui4,35
1608,平静 地 说,ping2 jing4   di4   shuo1,34
1613,一边 说,yi1 bian1   shuo1,34
1623,听 我 说,ting1   wo3   shuo1,34
1642,我 敢 说,wo3   gan3   shuo1,34
1644,笑 着 说,xiao4   zhe   shuo1,34
1708,说 是,shuo1   shi4,33
1725,别 说,bie2   shuo1,32
1774,在 说 什么,zai4   shuo1   shen2 me,31
1783,女士 说,nv3 shi4   shuo1,31
1804,赶紧 说道,gan3 jin3   shuo1 dao4,31
1855,姨父 说,yi2 fu4   shuo1,30
1873,没 说,mei2   shuo1,30
1893,没有 说话,mei2 you3   shuo1 hua4,30
1905,弗农 姨父 说,fu2 nong2   yi2 fu4   shuo1,30
1935,声音 说道,sheng1 yin1   shuo1 dao4,29
1965,卢平 说,lu2 ping2   shuo1,29
2016,会 说,hui4   shuo1,28
2049,对 他 说,dui4   ta1   shuo1,28
2116,不 说,bu4   shuo1,27
2128,福吉 说,fu2 ji2   shuo1,27
2145,高兴 地 说,gao1 xing4   di4   shuo1,27
2147,严厉 地 说,yan2 li4   di4   shuo1,27
2258,恼火 地 说,nao3 huo3   di4   shuo1,26
2293,压低 声音 说,ya1 di1   sheng1 yin1   shuo1,26
2343,能 说,neng2   shuo1,25
2351,人 说话,ren2   shuo1 hua4,25
2367,我 听说,wo3   ting1 shuo1,25
2371,伍德 说,wu3 de2   shuo1,25
2399,要 说,yao4   shuo1,25
2410,没好气 地 说,mei2 hao3 qi4   di4   shuo1,25
2453,厉声 说,li4 sheng1   shuo1,24
2457,说 实在,shuo1   shi2 zai4,24
2479,说 一 句,shuo1   yi1   ju4,24
2556,说 实在 的,shuo1   shi2 zai4   de,24
2590,听说 过,ting1 shuo1   guo4,23
2614,说 了 一 句,shuo1   le   yi1   ju4,23
2617,说 呢,shuo1   ne,23
2618,说 的 是,shuo1   de   shi4,23
2632,慢慢 地 说,man4 man4   di4   shuo1,23
2639,说 不 出,shuo1   bu4   chu1,23
2726,说 这,shuo1   zhe4,23
2768,对 我 说,dui4   wo3   shuo1,22
2784,他 说 的,ta1   shuo1   de,22
2848,珀西 说,po4 xi1   shuo1,22
2857,你们 说,ni3 men   shuo1,22
2877,我 说 的,wo3   shuo1   de,21
