Order Number,Item,Pinyin,Frequency
154,飞天 扫帚,fei1 tian1   sao4 zhou3,165
550,飞快 地,fei1 kuai4   di4,73
872,的 飞天 扫帚,de   fei1 tian1   sao4 zhou3,53
880,的 飞天,de   fei1 tian1,53
1197,飞 了,fei1   le,43
1274,金色 飞贼,jin1 se4   fei1 zei2,41
1287,鬼 飞球,gui3   fei1 qiu2,41
1989,飞天 扫帚 上,fei1 tian1   sao4 zhou3   shang4,29
2979,把 飞天 扫帚,ba3   fei1 tian1   sao4 zhou3,21
3066,把 飞天,ba3   fei1 tian1,21
3716,飞 得,fei1   de2,18
4811,他 的 飞天 扫帚,ta1   de   fei1 tian1   sao4 zhou3,14
4812,他 的 飞天,ta1   de   fei1 tian1,14
5975,飞进 了,fei1 jin4   le,12
6390,飞 了 出去,fei1   le   chu1 qu4,12
6393,飞走 了,fei1 zou3   le,12
6652,得 飞快,de2   fei1 kuai4,11
6723,从 飞天,cong2   fei1 tian1,11
6724,从 飞天 扫帚,cong2   fei1 tian1   sao4 zhou3,11
6726,从 飞天 扫帚 上,cong2   fei1 tian1   sao4 zhou3   shang4,11
7196,会飞 的,hui4 fei1   de,10
7479,哈利 飞快 地,ha1 li4   fei1 kuai4   di4,10
7503,一 把 飞天,yi1   ba3   fei1 tian1,10
7507,一 把 飞天 扫帚,yi1   ba3   fei1 tian1   sao4 zhou3,10
7929,哈利 飞快,ha1 li4   fei1 kuai4,10
9272,飞 了 起来,fei1   le   qi3 lai2,9
9273,飞天 扫帚 的,fei1 tian1   sao4 zhou3   de,9
9651,辆 会飞,liang4   hui4 fei1,8
10100,抓住 金色 飞贼,zhua1 zhu4   jin1 se4   fei1 zei2,8
10138,辆 会飞 的,liang4   hui4 fei1   de,8
10618,他 飞来,ta1   fei1 lai2,8
10620,里 飞,li3   fei1,8
11643,飞到 了,fei1 dao4   le,7
11644,飞天 扫帚 护理,fei1 tian1   sao4 zhou3   hu4 li3,7
12040,了 鬼 飞球,le   gui3   fei1 qiu2,7
12043,抓住 飞贼,zhua1 zhu4   fei1 zei2,7
12931,飞 过来,fei1   guo4 lai2,7
12972,在 飞天,zai4   fei1 tian1,7
12973,在 飞天 扫帚,zai4   fei1 tian1   sao4 zhou3,7
12975,在 飞天 扫帚 上,zai4   fei1 tian1   sao4 zhou3   shang4,7
14292,飞 起来,fei1   qi3 lai2,6
14294,飞贼 了,fei1 zei2   le,6
14295,飞来 的,fei1 lai2   de,6
14298,飞快 地 朝,fei1 kuai4   di4   chao2,6
14311,骑 飞天,qi2   fei1 tian1,6
14315,骑 飞天 扫帚,qi2   fei1 tian1   sao4 zhou3,6
14815,把 鬼 飞球,ba3   gui3   fei1 qiu2,6
15291,朝 他 飞来,chao2   ta1   fei1 lai2,6
16015,一 辆 会飞,yi1   liang4   hui4 fei1,6
16028,一 辆 会飞 的,yi1   liang4   hui4 fei1   de,6
16039,飞 出来,fei1   chu1 lai2,6
16156,的 飞天 扫帚 上,de   fei1 tian1   sao4 zhou3   shang4,6
16227,会飞 的 汽车,hui4 fei1   de   qi4 che1,6
16421,着 飞天,zhe   fei1 tian1,5
16631,窗口 飞,chuang1 kou3   fei1,5
16744,着 飞天 扫帚,zhe   fei1 tian1   sao4 zhou3,5
16745,着 鬼 飞球,zhe   gui3   fei1 qiu2,5
17264,它 飞,ta1   fei1,5
17425,寻找 金色 飞贼,xun2 zhao3   jin1 se4   fei1 zei2,5
17431,寻找 飞贼,xun2 zhao3   fei1 zei2,5
17466,越 飞越,yue4   fei1 yue4,5
17471,了 金色 飞贼,le   jin1 se4   fei1 zei2,5
17559,辆 会飞 的 汽车,liang4   hui4 fei1   de   qi4 che1,5
18076,里 飞 了,li3   fei1   le,5
18280,飞 了 进来,fei1   le   jin4 lai2,5
18281,飞 得 太,fei1   de2   tai4,5
18283,飞到 空中,fei1 dao4   kong1 zhong1,5
18284,飞 进来,fei1   jin4 lai2,5
18285,飞天 扫帚 护理 工具箱,fei1 tian1   sao4 zhou3   hu4 li3   gong1 ju4 xiang1,5
18388,龙飞凤舞 地,long2 fei1 feng4 wu3   di4,5
20295,他 飞,ta1   fei1,5
20305,他 飞快 地,ta1   fei1 kuai4   di4,5
20315,他 飞快,ta1   fei1 kuai4,5
20823,一 辆 会飞 的 汽车,yi1   liang4   hui4 fei1   de   qi4 che1,5
