Order Number,Item,Pinyin,Frequency
1825,松 了,song1   le,31
3799,松 了 口 气,song1   le   kou3   qi4,17
3974,松 了 口,song1   le   kou3,17
4097,松开 了,song1 kai1   le,16
4792,松 了 一 口 气,song1   le   yi1   kou3   qi4,14
4795,松 了 一,song1   le   yi1,14
5112,松 了 一 口,song1   le   yi1   kou3,14
12072,轻松 地,qing1 song1   di4,7
12455,松动 的 地板,song1 dong4   de   di4 ban3,7
12456,松动 的,song1 dong4   de,7
12630,哈利松 了,ha1 li4 song1   le,7
15345,松软 的,song1 ruan3   de,6
16387,块 松动 的,kuai4   song1 dong4   de,5
16389,块 松动 的 地板,kuai4   song1 dong4   de   di4 ban3,5
16390,块 松动,kuai4   song1 dong4,5
17553,轻松 愉快,qing1 song1   yu2 kuai4,5
19841,松动 的 地板 下,song1 dong4   de   di4 ban3   xia4,5
