Order Number,Item,Pinyin,Frequency
591,被 人,bei4   ren2,69
636,会 被,hui4   bei4,65
883,都 被,dou1   bei4,53
975,被 开除,bei4   kai1 chu2,50
1325,被 一,bei4   yi1,40
1360,是 被,shi4   bei4,39
1482,他 被,ta1   bei4,37
1558,就 被,jiu4   bei4,35
2280,没有 被,mei2 you3   bei4,26
2406,被 他,bei4   ta1,25
2870,又 被,you4   bei4,22
3004,被 抓住,bei4   zhua1 zhu4,21
3396,被 打开,bei4   da3 kai1,19
3529,已经 被,yi3 jing1   bei4,18
3583,被 关,bei4   guan1,18
3594,我 被,wo3   bei4,18
3634,要 被,yao4   bei4,18
3854,哈利 被,ha1 li4   bei4,17
4481,你 被,ni3   bei4,15
4507,也 被,ye3   bei4,15
4854,自己 被,zi4 ji3   bei4,14
4870,被 施,bei4   shi1,14
4874,似乎 被,si4 hu1   bei4,14
5050,个 被,ge4   bei4,14
5356,被 分到,bei4   fen1 dao4,13
5358,被 开除 了,bei4   kai1 chu2   le,13
5361,被 施 了,bei4   shi1   le,13
5445,被 发现,bei4   fa1 xian4,13
5647,没 被,mei2   bei4,13
5879,被 石化,bei4   shi2 hua4,12
5951,好像 被,hao3 xiang4   bei4,12
5961,被 关 在,bei4   guan1   zai4,12
6120,可能 被,ke3 neng2   bei4,12
6232,次 被,ci4   bei4,12
6528,被 人 发现,bei4   ren2   fa1 xian4,11
6630,被 一 个,bei4   yi1   ge4,11
6634,被 开除 的,bei4   kai1 chu2   de,11
6637,被 霍格沃茨,bei4   huo4 ge2 wo4 ci2,11
7076,一 个 被,yi1   ge4   bei4,11
7130,在 被,zai4   bei4,11
7455,被 那,bei4   na4,10
7524,完全 被,wan2 quan2   bei4,10
8149,会 被 开除,hui4   bei4   kai1 chu2,10
8270,被 人 看见,bei4   ren2   kan4 jian4,9
8271,被 他们,bei4   ta1 men,9
8273,被 打开 了,bei4   da3 kai1   le,9
8275,被 抓住 了,bei4   zhua1 zhu4   le,9
8413,肯定 会 被,ken3 ding4   hui4   bei4,9
8482,被 一 只,bei4   yi1   zhi3,9
8490,被 施 了 魔法,bei4   shi1   le   mo2 fa3,9
8518,被 发现 的,bei4   fa1 xian4   de,9
8679,我们 被,wo3 men   bei4,9
9160,不 会 被,bu4   hui4   bei4,9
9562,它 被,ta1   bei4,8
9793,被 推开,bei4   tui1 kai1,8
9794,被 杀死,bei4   sha1 si3,8
9797,被 霍格沃茨 开除,bei4   huo4 ge2 wo4 ci2   kai1 chu2,8
10148,不 被,bu4   bei4,8
10737,他们 被,ta1 men   bei4,8
11041,突然 被,tu1 ran2   bei4,7
11226,被 带到,bei4   dai4 dao4,7
11227,被 封死,bei4   feng1 si3,7
11228,被 抓,bei4   zhua1,7
11229,被 推开 了,bei4   tui1 kai1   le,7
11490,她 被,ta1   bei4,7
11593,被 它,bei4   ta1,7
11606,被 烧伤,bei4   shao1 shang1,7
11609,人 被,ren2   bei4,7
11614,被 罗恩,bei4   luo2 en1,7
11616,被 哈利,bei4   ha1 li4,7
11620,几乎 被,ji1 hu1   bei4,7
11668,刚刚 被,gang1 gang1   bei4,7
11951,将 被,jiang1   bei4,7
12198,时 被,shi2   bei4,7
12743,门 被,men2   bei4,7
12933,仿佛 被,fang3 fu2   bei4,7
13006,的 门 被,de   men2   bei4,7
13179,地 被,di4   bei4,6
13344,着 被,zhe   bei4,6
13431,罗恩 被,luo2 en1   bei4,6
13447,不 是 被,bu4   shi4   bei4,6
13562,被 别人,bei4   bie2 ren2,6
13563,被 取消,bei4   qu3 xiao1,6
13571,被 称为,bei4   cheng1 wei2,6
13573,被 这,bei4   zhe4,6
13574,被 释放,bei4   shi4 fang4,6
13576,被 释放 了,bei4   shi4 fang4   le,6
13579,被 魔法,bei4   mo2 fa3,6
13887,像是 被,xiang4 shi4   bei4,6
13967,差点 被,cha4 dian3   bei4,6
13974,已 被,yi3   bei4,6
14142,里 被,li3   bei4,6
14200,被 弄,bei4   nong4,6
14229,被 选为,bei4   xuan3 wei4,6
14235,被 震,bei4   zhen4,6
14863,只 被,zhi3   bei4,6
16684,你 会 被,ni3   hui4   bei4,5
16868,一下子 被,yi1 xia4 zi   bei4,5
16989,脸 被,lian3   bei4,5
17095,被 关禁闭,bei4   guan1 jin4 bi4,5
17096,被 关进,bei4   guan1 jin4,5
17100,被 咬,bei4   yao3,5
17101,被 她,bei4   ta1,5
17102,被 学校 开除,bei4   xue2 xiao4   kai1 chu2,5
17105,被 我们,bei4   wo3 men,5
17106,被 我,bei4   wo3,5
17112,被 扯,bei4   che3,5
17113,被 挤,bei4   ji3,5
17115,被 烧伤 的,bei4   shao1 shang1   de,5
17116,被 施 了 魔法 的,bei4   shi1   le   mo2 fa3   de,5
17118,被 石化 的,bei4   shi2 hua4   de,5
17119,被 震 得,bei4   zhen4   de2,5
17120,被 韦斯莱 夫人,bei4   wei2 si1 lai2   fu1 ren2,5
17121,被 韦斯莱,bei4   wei2 si1 lai2,5
17913,那些 被,na4 xie1   bei4,5
17922,年 前 被,nian2   qian2   bei4,5
18156,被 学校,bei4   xue2 xiao4,5
18194,被 风,bei4   feng1,5
18453,怎样 被,zen3 yang4   bei4,5
18522,前 被,qian2   bei4,5
18697,却 被,que4   bei4,5
18788,又 一 次 被,you4   yi1   ci4   bei4,5
18894,个 人 被,ge4   ren2   bei4,5
19251,可能 会 被,ke3 neng2   hui4   bei4,5
19321,一 次 被,yi1   ci4   bei4,5
19920,次 被 打开,ci4   bei4   da3 kai1,5
20170,海格 被,hai3 ge2   bei4,5
