Order Number,Item,Pinyin,Frequency
321,从 他,cong2   ta1,104
369,从来 没有,cong2 lai2   mei2 you3,94
423,从 没,cong2   mei2,86
426,哈利 从,ha1 li4   cong2,85
429,他 从,ta1   cong2,85
517,地 从,di4   cong2,76
593,是 从,shi4   cong2,69
1119,从 没 见,cong2   mei2   jian4,45
1150,从 没 见 过,cong2   mei2   jian4   guo4,44
1347,从 他们,cong2   ta1 men,39
1460,从 一,cong2   yi1,37
1478,从来 没,cong2 lai2   mei2,37
1651,从 哈利,cong2   ha1 li4,34
1907,从 那,cong2   na4,30
1928,以前 从,yi3 qian2   cong2,29
1998,以前 从 没,yi3 qian2   cong2   mei2,29
2121,从 他 的,cong2   ta1   de,27
2249,我 从,wo3   cong2,26
2296,从来 不,cong2 lai2   bu4,26
2309,目光 从,mu4 guang1   cong2,26
2384,从 她,cong2   ta1,25
2492,从 我,cong2   wo3,24
2570,哈利 从 没,ha1 li4   cong2   mei2,23
2616,从 口袋 里,cong2   kou3 dai4   li3,23
2714,从 口袋,cong2   kou3 dai4,23
2719,从 哪儿,cong2   na3 er2,23
2817,就 从,jiu4   cong2,22
2842,突然 从,tu1 ran2   cong2,22
3100,他 从来,ta1   cong2 lai2,20
3290,哈利 从 没 见,ha1 li4   cong2   mei2   jian4,19
3330,我 从来,wo3   cong2 lai2,19
3352,赫敏 从,he4 min3   cong2,19
3373,从 床,cong2   chuang2,19
3387,他们 从,ta1 men   cong2,19
3619,从 椅子,cong2   yi3 zi,18
3665,哈利 从 没 见 过,ha1 li4   cong2   mei2   jian4   guo4,18
3711,正 从,zheng4   cong2,18
3886,从 不,cong2   bu4,17
3896,从 里面,cong2   li3 mian4,17
3983,人 从,ren2   cong2,17
4008,是 从 哪儿,shi4   cong2   na3 er2,17
4103,你 从,ni3   cong2,16
4179,从 你,cong2   ni3,16
4182,从 口袋 里 掏出,cong2   kou3 dai4   li3   tao1 chu1,16
4416,声音 从,sheng1 yin1   cong2,15
4703,东西 从,dong1 xi1   cong2,15
4790,从 魔杖,cong2   mo2 zhang4,14
4848,她 从,ta1   cong2,14
4914,从 一 个,cong2   yi1   ge4,14
4931,从 床 上,cong2   chuang2   shang4,14
4937,从 椅子 上,cong2   yi3 zi   shang4,14
4943,从 这里,cong2   zhe4 li3,14
4982,把 目光 从,ba3   mu4 guang1   cong2,14
5235,从 没 见 过 的,cong2   mei2   jian4   guo4   de,13
5240,从 罗恩,cong2   luo2 en1,13
5330,都 从,dou1   cong2,13
5767,从 他们 身边,cong2   ta1 men   shen1 bian1,13
5793,从 地上,cong2   di4 shang4,13
5908,罗恩 从,luo2 en1   cong2,12
5936,能 从,neng2   cong2,12
5997,想 从,xiang3   cong2,12
6013,从 小,cong2   xiao3,12
6021,从 桌子,cong2   zhuo1 zi,12
6026,从 窗口,cong2   chuang1 kou3,12
6028,从 肖像,cong2   xiao4 xiang4,12
6048,又 从,you4   cong2,12
6074,把 他 从,ba3   ta1   cong2,12
6209,哈利 从来,ha1 li4   cong2 lai2,12
6211,从 那 以后,cong2   na4   yi3 hou4,12
6346,的 声音 从,de   sheng1 yin1   cong2,12
6419,从 厨房,cong2   chu2 fang2,12
6468,着 从,zhe   cong2,11
6688,从 哈利 的,cong2   ha1 li4   de,11
6691,从 四面八方,cong2   si4 mian4 ba1 fang1,11
6704,从 扫帚,cong2   sao4 zhou3,11
6723,从 飞天,cong2   fei1 tian1,11
6724,从 飞天 扫帚,cong2   fei1 tian1   sao4 zhou3,11
6726,从 飞天 扫帚 上,cong2   fei1 tian1   sao4 zhou3   shang4,11
6907,已经 从,yi3 jing1   cong2,11
7472,刚 从,gang1   cong2,10
7481,它 从,ta1   cong2,10
7533,从 他 身边,cong2   ta1   shen1 bian1,10
7545,从 口袋 里 掏出 一,cong2   kou3 dai4   li3   tao1 chu1   yi1,10
7562,从 它,cong2   ta1,10
7566,从 床上,cong2   chuang2 shang4,10
7567,我 从来 没有,wo3   cong2 lai2   mei2 you3,10
7593,从 阿兹卡班,cong2   a1 zi1 ka3 ban1,10
7644,他 从来 没有,ta1   cong2 lai2   mei2 you3,10
7833,教授 从,jiao4 shou4   cong2,10
8206,你 从来,ni3   cong2 lai2,9
8566,从 上面,cong2   shang4 mian4,9
8575,从 他 手,cong2   ta1   shou3,9
8588,从 天花板,cong2   tian1 hua1 ban3,9
8591,从 她 的,cong2   ta1   de,9
8596,从 扫帚 上,cong2   sao4 zhou3   shang4,9
8611,从 肖像 洞口,cong2   xiao4 xiang4   dong4 kou3,9
8626,从来 没 见,cong2 lai2   mei2   jian4,9
8631,从来 没 见 过,cong2 lai2   mei2   jian4   guo4,9
9251,以前 从没有,yi3 qian2   cong2 mei2 you3,9
9466,头发 从,tou2 fa4   cong2,8
9536,要 从,yao4   cong2,8
9733,脑袋 从,nao3 dai4   cong2,8
9756,自从 哈利,zi4 cong2   ha1 li4,8
9921,从 他 手 里,cong2   ta1   shou3   li3,8
9928,从 他们 的,cong2   ta1 men   de,8
9948,从 我 的,cong2   wo3   de,8
9951,从 敞开 的,cong2   chang3 kai1   de,8
9952,从 敞开,cong2   chang3 kai1,8
9967,从 空中,cong2   kong1 zhong1,8
9979,从 门缝,cong2   men2 feng4,8
9990,从来 都,cong2 lai2   dou1,8
10048,他 从没,ta1   cong2 mei2,8
10051,他 以前 从,ta1   yi3 qian2   cong2,8
10052,他 以前 从 没,ta1   yi3 qian2   cong2   mei2,8
10068,把 我 从,ba3   wo3   cong2,8
10652,他们 从来,ta1 men   cong2 lai2,8
10735,会 从,hui4   cong2,8
10751,一边 从,yi1 bian1   cong2,8
10801,以前 从 没 见,yi3 qian2   cong2   mei2   jian4,8
10803,以前 从 没 见 过,yi3 qian2   cong2   mei2   jian4   guo4,8
10883,地 从 他,di4   cong2   ta1,8
11178,自从 他,zi4 cong2   ta1,7
11352,夫人 从,fu1 ren2   cong2,7
11390,还 从,hai2   cong2,7
11517,自从 我,zi4 cong2   wo3,7
11753,从 什么,cong2   shen2 me,7
11758,从 他 嘴里,cong2   ta1   zui3 li3,7
11771,从 后面,cong2   hou4 mian4,7
11779,从 哈利 身边,cong2   ha1 li4   shen1 bian1,7
11786,从 哪儿 弄来,cong2   na3 er2   nong4 lai2,7
11798,从 天花板 上,cong2   tian1 hua1 ban3   shang4,7
11809,从 座位,cong2   zuo4 wei4,7
11810,从 座位 上,cong2   zuo4 wei4   shang4,7
11811,从 很,cong2   hen3,7
11815,我 从来 没,wo3   cong2 lai2   mei2,7
11823,从 树,cong2   shu4,7
11825,从 桌,cong2   zhuo1,7
11826,从 桌 上,cong2   zhuo1   shang4,7
11839,从 牙缝,cong2   ya2 feng4,7
11849,从 赫敏,cong2   he4 min3,7
11855,从 阿兹卡班 逃,cong2   a1 zi1 ka3 ban1   tao2,7
11859,从 霍格沃茨,cong2   huo4 ge2 wo4 ci2,7
11864,从 魔法,cong2   mo2 fa3,7
11869,从来 没有 像,cong2 lai2   mei2 you3   xiang4,7
11872,从没 见,cong2 mei2   jian4,7
11873,从没 见 过,cong2 mei2   jian4   guo4,7
11960,他 从来 没,ta1   cong2 lai2   mei2,7
12000,把 它 从,ba3   ta1   cong2,7
12692,也 从,ye3   cong2,7
13525,好像 是 从,hao3 xiang4   shi4   cong2,6
13691,一样 从,yi1 yang4   cong2,6
