Order Number,Item,Pinyin,Frequency
311,庞弗雷 女士,pang2 fu2 lei2   nv3 shi4,106
348,马克西姆 女士,ma3 ke4 xi1 mu3   nv3 shi4,99
1097,霍琦 女士,huo4 qi2   nv3 shi4,46
1591,的 勇士,de   yong3 shi4,35
1783,女士 说,nv3 shi4   shuo1,31
1974,位 勇士,wei4   yong3 shi4,29
2030,女士 的,nv3 shi4   de,28
3166,博恩斯 女士,bo2 en1 si1   nv3 shi4,20
3511,骑士 公共 汽车,qi2 shi4   gong1 gong4   qi4 che1,18
3521,卡多根 爵士,ka3 duo1 gen1   jue2 shi4,18
3710,骑士 公共,qi2 shi4   gong1 gong4,18
4461,罗斯默塔 女士,luo2 si1 mo4 ta3   nv3 shi4,15
5411,勇士 的,yong3 shi4   de,13
6911,和 马克西姆 女士,he2   ma3 ke4 xi1 mu3   nv3 shi4,11
7004,庞弗雷 女士 说,pang2 fu2 lei2   nv3 shi4   shuo1,11
7857,其他 勇士,qi2 ta1   yong3 shi4,10
8374,平斯 女士,ping2 si1   nv3 shi4,9
8498,霍琦 女士 的,huo4 qi2   nv3 shi4   de,9
8505,马克西姆 女士 说,ma3 ke4 xi1 mu3   nv3 shi4   shuo1,9
9278,马克西姆 女士 的,ma3 ke4 xi1 mu3   nv3 shi4   de,9
9803,霍格沃茨 的 勇士,huo4 ge2 wo4 ci2   de   yong3 shi4,8
10438,梅林 爵士 团,mei2 lin2   jue2 shi4   tuan2,8
10439,梅林 爵士,mei2 lin2   jue2 shi4,8
10599,爵士 团,jue2 shi4   tuan2,8
11128,女士 用,nv3 shi4   yong4,7
11242,学校 的 勇士,xue2 xiao4   de   yong3 shi4,7
11411,女士 和,nv3 shi4   he2,7
11560,弗雷 女士,fu2 lei2   nv3 shi4,7
11587,几 位 勇士,ji3   wei4   yong3 shi4,7
11783,勇士 都,yong3 shi4   dou1,7
13437,罗斯 默塔 女士,luo2 si1   mo4 ta3   nv3 shi4,6
13886,女士 一起,nv3 shi4   yi4 qi3,6
13889,女士 在,nv3 shi4   zai4,6
13928,一 位 勇士,yi1   wei4   yong3 shi4,6
14305,马克西姆 女士 和,ma3 ke4 xi1 mu3   nv3 shi4   he2,6
14368,默塔 女士,mo4 ta3   nv3 shi4,6
16425,着 马克西姆 女士,zhe   ma3 ke4 xi1 mu3   nv3 shi4,5
16858,女士 从,nv3 shi4   cong2,5
16863,女士 把,nv3 shi4   ba3,5
17853,帕特里克 爵士,pa4 te4 li3 ke4   jue2 shi4,5
18220,霍琦 女士 说,huo4 qi2   nv3 shi4   shuo1,5
18588,勇士 是,yong3 shi4   shi4,5
20567,的 女士,de   nv3 shi4,5
