Order Number,Item,Pinyin,Frequency
1833,天 夜里,tian1   ye4 li3,31
2372,那 天 夜里,na4   tian1   ye4 li3,25
3667,的 夜空,de   ye4 kong1,18
6702,半夜 三,ban4 ye4   san1,11
6703,半夜 三 更,ban4 ye4   san1   geng4,11
8049,的 那 天 夜里,de   na4   tian1   ye4 li3,10
8189,夜空 中,ye4 kong1   zhong1,9
9104,昨天 夜里,zuo2 tian1   ye4 li3,9
9207,的 夜晚,de   ye4 wan3,9
10717,在 半夜,zai4   ban4 ye4,8
10806,一 夜,yi1   ye4,8
13279,夜色 中,ye4 se4   zhong1,6
14401,到 午夜,dao4   wu3 ye4,6
16368,一 天 夜里,yi1   tian1   ye4 li3,5
18377,黑夜 里,hei1 ye4   li3,5
18475,今天 夜里,jin1 tian1   ye4 li3,5
18638,半夜 里,ban4 ye4   li3,5
20534,在 半夜 三 更,zai4   ban4 ye4   san1   geng4,5
20535,在 半夜 三,zai4   ban4 ye4   san1,5
20560,的 夜色,de   ye4 se4,5
20582,在 夜里,zai4   ye4 li3,5
